ItisTsn,ItisSname,LandbirdTsn,LandbirdSname
179032,Dolichonyx oryzivorus,179032,Dolichonyx oryzivorus
179034,Sturnella magna,179034,Sturnella magna
179039,Sturnella neglecta,179039,Sturnella neglecta
179043,Xanthocephalus xanthocephalus,179043,Xanthocephalus xanthocephalus
179045,Agelaius phoeniceus,179045,Agelaius phoeniceus
179064,Icterus spurius,179064,Icterus spurius
179083,Icterus galbula,179083,Icterus galbula
179091,Euphagus carolinus,179091,Euphagus carolinus
179094,Euphagus cyanocephalus,179094,Euphagus cyanocephalus
179104,Quiscalus quiscula,179104,Quiscalus quiscula
179109,Quiscalus mexicanus,179109,Quiscalus mexicanus
179112,Molothrus ater,179112,Molothrus ater
179124,Cardinalis cardinalis,179124,Cardinalis cardinalis
179139,Pheucticus ludovicianus,179139,Pheucticus ludovicianus
179150,Passerina cyanea,179150,Passerina cyanea
179156,Passerina ciris,179156,Passerina ciris
179165,Spiza americana,179165,Spiza americana
179249,Spinus tristis,179249,Spinus tristis
179276,Pipilo erythrophthalmus,179276," eastern towhee"""
179312,Calamospiza melanocorys,179312,Calamospiza melanocorys
179314,Passerculus sandwichensis,179314,Passerculus sandwichensis
179333,Ammodramus savannarum,179333,Ammodramus savannarum
179340,Ammodramus henslowii,179340,Ammodramus henslowii
179366,Pooecetes gramineus,179366,Pooecetes gramineus
179371,Chondestes grammacus,179371,Chondestes grammacus
179410,Junco hyemalis,179410,Junco hyemalis
179435,Spizella passerina,179435,Spizella passerina
179439,Spizella pallida,179439,Spizella pallida
726049,Actitis macularius,726049,Actitis macularius
726195,Helmitheros vermivorum,726195,Helmitheros vermivorum
726198,Passerina caerulea,726198,Passerina caerulea
726205,Seiurus aurocapilla,726205,Seiurus aurocapilla
1077350,Antrostomus carolinensis,1077350,Antrostomus carolinensis
1077358,Antrostomus vociferus,1077358,Antrostomus vociferus
1145276,Dryobates pubescens,1145276,Dryobates pubescens
1145285,Leuconotopicus villosus,1145285,Leuconotopicus villosus
179443,Spizella pusilla,179443,Spizella pusilla
179455,Zonotrichia leucophrys,179455,Zonotrichia leucophrys
179462,Zonotrichia albicollis,179462,Zonotrichia albicollis
179484,Melospiza lincolnii,179484,Melospiza lincolnii
179488,Melospiza georgiana,179488,Melospiza georgiana
179492,Melospiza melodia,179492,Melospiza melodia
179526,Calcarius lapponicus,179526,Calcarius lapponicus
179628,Passer domesticus,179628,Passer domesticus
179637,Sturnus vulgaris,179637,Sturnus vulgaris
179680,Cyanocitta cristata,179680,Cyanocitta cristata
179731,Corvus brachyrhynchos,179731,Corvus brachyrhynchos
179737,Corvus ossifragus,179737,Corvus ossifragus
179759,Turdus migratorius,179759,Turdus migratorius
179777,Hylocichla mustelina,179777,Hylocichla mustelina
179779,Catharus guttatus,179779,Catharus guttatus
179788,Catharus ustulatus,179788,Catharus ustulatus
179796,Catharus fuscescens,179796,Catharus fuscescens
179801,Sialia sialis,179801,Sialia sialis
179853,Polioptila caerulea,179853,Polioptila caerulea
179865,Regulus satrapa,179865,Regulus satrapa
179870,Regulus calendula,179870,Regulus calendula
179883,Piranga olivacea,179883,Piranga olivacea
179888,Piranga rubra,179888,Piranga rubra
707815,Porphyrio martinica,707815,Porphyrio martinica
824127,Sternula antillarum,824127,Sternula antillarum
997733,Peucaea aestivalis,997733,Peucaea aestivalis
997803,Haemorhous purpureus,997803,Haemorhous purpreus
997805,Haemorhous mexicanus,997805,Haemorhous mexicanus
997961,Spizelloides arborea,997961,Spizelloides arborea
554135,Ardea alba,554135,Ardea alba
554138,Baeolophus bicolor,554138,Baeolophus bicolor
554221,Contopus cooperi,554221,Contopus cooperi
554256,Eremophila alpestris,554256,Eremophila alpestris
554268,Ictinia mississippiensis,554268,Ictinia mississippiensis
554380,Pipilo maculatus,554380,Pipilo maculatus
554382,Poecile atricapillus,554382,Poecile atricapillus
554383,Poecile carolinensis,554383,Poecile carolinensis
950009,Parkesia motacilla,950009,Parkesia motacilla
950010,Parkesia noveboracensis,950010,Parkesia noveboracensis
950011,Vermivora cyanoptera,950011,Vermivora cyanoptera
950014,Leiothlypis peregrina,950014,Leiothlypis peregrina
950015,Leiothlypis celata,950015,Leiothlypis celata
950018,Leiothlypis ruficapilla,950018,Leiothlypis ruficapilla
950025,Geothlypis formosa,950025,Geothlypis formosa
950029,Setophaga citrina,950029,Setophaga citrina
950032,Setophaga cerulea,950032,Setophaga cerulea
950033,Setophaga americana,950033,Setophaga americana
950035,Setophaga magnolia,950035,Setophaga magnolia
950036,Setophaga castanea,950036,Setophaga castanea
950037,Setophaga fusca,950037,Setophaga fusca
950039,Setophaga petechia,950039,Setophaga petechia
950040,Setophaga pensylvanica,950040,Setophaga pensylvanica
950041,Setophaga striata,950041,Setophaga striata
950042,Setophaga caerulescens,950042,Setophaga caerulescens
950043,Setophaga palmarum,950043,Setophaga palmarum
950045,Setophaga pinus,950045,Setophaga pinus
950046,Setophaga coronata,950046,Setophaga coronata
950049,Setophaga dominica,950049,Setophaga dominica
950052,Setophaga discolor,950052,Setophaga discolor
950061,Setophaga virens,950061,Setophaga virens
950079,Cardellina canadensis,950079,Cardellina canadensis
950080,Cardellina pusilla,950080,Cardellina pusilla
