ID,AOUCode,TSN,CommonName,ScientificName,Family
,HOWR,178541,house wren,Troglodytes aedon,Troglodytidae
,BEWR,178562,bewick's wren,Thryomanes bewickii,Troglodytidae
,CARW,178581,carolina wren,Thryothorus ludovicianus,Troglodytidae
,SEWR,178605,sedge wren,Cistothorus platensis,Troglodytidae
,MAWR,178608,marsh wren,Cistothorus palustris,Troglodytidae
,ROWR,178614,rock wren,Salpinctes obsoletus,Troglodytidae
,NOMO,178620,northern mockingbird,Mimus polyglottos,Mimidae
,GRCA,178625,gray catbird,Dumetella carolinensis,Mimidae
,BRTH,178627,brown thrasher,Toxostoma rufum,Mimidae
,UPCH,178697,Unidentified poecile chickadee,Unidentified chickadee,Paridae
,WBNU,178775,white-breasted nuthatch,Sitta carolinensis,Sittidae
,BRCR,178803,brown creeper,Certhia americana,Certhiidae
,UNSP,178838,Unidentified sparrow,Unidentified sparrow,Emberizidae
,UNWA,178842,Unidentified warbler,Unidentified warbler,Parulidae
,BAWW,178844,black-and-white warbler,Mniotilta varia,Parulidae
,PROW,178846,prothonotary warbler,Protonotaria citrea,Parulidae
,GWWA,178852,golden-winged warbler,Vermivora chrysoptera,Parulidae
,COYE,178944,common yellowthroat,Geothlypis trichas,Parulidae
,YBCH,178964,yellow-breasted chat,Icteria virens,Parulidae
,AMRE,178979,american redstart,Setophaga ruticilla,Parulidae
,UNVI,178988,Unidentified vireo,Unidentified vireo,Vireonidae
,WEVI,178991,white-eyed vireo,Vireo griseus,Vireonidae
,BEVI,179003,bell's vireo,Vireo bellii,Vireonidae
,YTVI,179009,yellow-throated vireo,Vireo flavifrons,Vireonidae
,BHVI,179010,Blue-headed Vireo,Vireo solitarius,Vireonidae
,REVI,179021,red-eyed vireo,Vireo olivaceus,Vieonidae
,PHVI,179022,philadelphia vireo,Vireo philadelphicus,Vireonidae
,WAVI,179023,warbling vireo,Vireo gilvus,Vireonidae
,UNME,179030,Unidentified meadowlark,Unidentified meadowlark,Icteridae
,BOBO,179032,bobolink,Dolichonyx oryzivorus,Icteridae
,EAME,179034,eastern meadowlark,Sturnella magna,Icteridae
,WEME,179039,western meadowlark,Sturnella neglecta,Icteridae
,YHBL,179043,yellow-headed blackbird,Xanthocephalus xanthocephalus,Icteridae
,RWBL,179045,red-winged blackbird,Agelaius phoeniceus,Icteridae
,OROR,179064,orchard oriole,Icterus spurius,Icteridae
,BAOR,179083,northern oriole,Icterus galbula,Icteridae
,RUBL,179091,rusty blackbird,Euphagus carolinus,Icteridae
,BRBL,179094,brewer's blackbird,Euphagus cyanocephalus,Icteridae
,COGR,179104,common grackle,Quiscalus quiscula,Icteridae
,GTGR,179109,great-tailed grackle,Quiscalus mexicanus,Icteridae
,BHCO,179112,brown-headed cowbird,Molothrus ater,Icteridae
,NOCA,179124,northern cardinal,Cardinalis cardinalis,Cardinalidae
,RBGR,179139,rose-breasted grosbeak,Pheucticus ludovicianus,Cardinalidae
,INBU,179150,indigo bunting,Passerina cyanea,Cardinalidae
,PABU,179156,painted bunting,Passerina ciris,Cardinalidae
,DICK,179165,dickcissel,Spiza americana,Cardinalidae
,AMGO,179249,american goldfinch,Spinus tristis,Fringillidae
