ParkUnit,Plot,EventDate,VegType,CovClass,MidpointValue,Range
Agate Fossil Beds,AGFO18,May  8 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO19,Jun  7 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2004,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO19,Jun  7 2005,Disturbed Floodplain,5,62.5,50 - 75%
Agate Fossil Beds,AGFO19,Jun  7 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2005,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO19,Jun  7 2006,Upland Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO19,Jun  7 2006,Wetland,2,3,1 - 5%
Agate Fossil Beds,AGFO19,May  8 2001,Intermittent Water Cover,3,15,5 - 25%
Agate Fossil Beds,AGFO19,May  8 2001,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO2,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO2,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO2,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO2,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO2,May  8 2001,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO20,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO20,Jun  5 2003,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO20,Jun  7 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO20,Jun  7 2004,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO20,Jun  7 2005,Disturbed Prairie,2,3,1 - 5%
Agate Fossil Beds,AGFO20,Jun  7 2005,Stream,2,3,1 - 5%
Agate Fossil Beds,AGFO20,Jun  7 2005,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO20,Jun  7 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO20,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO20,Jun  7 2006,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO20,May  8 2001,Intermittent Water Cover,5,62.5,50 - 75%
Agate Fossil Beds,AGFO20,May  8 2001,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO21,Jun  5 2003,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO21,Jun  5 2003,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO21,Jun  7 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO21,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO21,Jun  7 2006,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO21,Jun  8 2005,Upland Prairie,3,15,5 - 25%
Agate Fossil Beds,AGFO21,Jun  8 2005,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO21,Jun  9 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO21,Jun  9 2004,Wetland,7,97.5,95 - 100%
Agate Fossil Beds,AGFO21,May  9 2001,Intermittent Water Cover,3,15,5 - 25%
Agate Fossil Beds,AGFO21,May  9 2001,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO22,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO22,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO22,Jun  7 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO22,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO22,Jun  7 2006,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO22,Jun  8 2005,Disturbed Floodplain,3,15,5 - 25%
Agate Fossil Beds,AGFO22,Jun  8 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO22,Jun  8 2005,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO22,Jun  9 2004,Floodplain,3,15,5 - 25%
Agate Fossil Beds,AGFO22,Jun  9 2004,Shrub,1,0.5,trace - 1%
Agate Fossil Beds,AGFO22,Jun  9 2004,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO22,Jun  9 2004,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO22,May 10 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO22,May 10 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO23,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO23,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO23,Jun  7 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO23,Jun  7 2006,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO23,Jun  8 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO23,Jun  8 2005,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO23,Jun  9 2004,Riparian Woodland,6,85,75 - 95%
Agate Fossil Beds,AGFO23,Jun  9 2004,Stream,5,62.5,50 - 75%
Agate Fossil Beds,AGFO23,Jun  9 2004,Western Wheatgrass,3,15,5 - 25%
Agate Fossil Beds,AGFO23,May  9 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO23,May  9 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO24,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO24,Jun  5 2003,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO24,Jun  8 2005,Stream,2,3,1 - 5%
Agate Fossil Beds,AGFO24,Jun  8 2005,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO24,Jun  8 2006,Riparian Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO24,Jun  8 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO24,Jun  8 2006,Upland Prairie,2,3,1 - 5%
Agate Fossil Beds,AGFO24,Jun  8 2006,Wetland,2,3,1 - 5%
Agate Fossil Beds,AGFO24,Jun  9 2004,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO24,Jun  9 2004,Western Wheatgrass,2,3,1 - 5%
Agate Fossil Beds,AGFO24,Jun  9 2004,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO24,May  9 2001,Intermittent Water Cover,3,15,5 - 25%
Agate Fossil Beds,AGFO24,May  9 2001,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO25,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO25,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO25,Jun  8 2005,Disturbed Floodplain,3,15,5 - 25%
Agate Fossil Beds,AGFO25,Jun  8 2005,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO25,Jun  8 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO25,Jun  8 2006,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO25,Jun  8 2006,Upland Prairie,3,15,5 - 25%
Agate Fossil Beds,AGFO25,Jun  8 2006,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO25,Jun  9 2004,Stream,5,62.5,50 - 75%
Agate Fossil Beds,AGFO25,Jun  9 2004,Wetland,7,97.5,95 - 100%
Agate Fossil Beds,AGFO25,May  9 2001,Intermittent Water Cover,6,85,75 - 95%
Agate Fossil Beds,AGFO25,May  9 2001,Wetland,2,3,1 - 5%
Agate Fossil Beds,AGFO26,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO26,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO26,Jun  8 2005,Disturbed Floodplain,3,15,5 - 25%
Agate Fossil Beds,AGFO26,Jun  8 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO26,Jun  8 2005,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO26,Jun  8 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO26,Jun  8 2006,Stream,3,15,5 - 25%
