TSN,hierarchy_string,LandbirdTsn,LandbirdSname
179165,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179164-179165,179165,Spiza americana
179883,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179881-179883,179883,Piranga olivacea
179888,202423-914154-914156-158852-331030-914179-914181-174371-178265-553443-179881-179888,179888,Piranga rubra
179628,202423-914154-914156-158852-331030-914179-914181-174371-178265-553446-179627-179628,179628,Passer domesticus
175122,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-175121-175122,175122,Aix sponsa
175125,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-175124-175125,175125,Aythya americana
175183,202423-914154-914156-158852-331030-914179-914181-174371-174982-174983-175182-175183,175183,Lophodytes cucullatus
175604,202423-914154-914156-158852-331030-914179-914181-174371-175262-175593-823970-175598-175604,175604,Falco peregrinus
175622,202423-914154-914156-158852-331030-914179-914181-174371-175262-175593-823970-175598-175622,175622,Falco sparverius
175834,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-175833-175834,175834,Tympanuchus cupido
175841,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-175833-175841,175841,Tympanuchus phasianellus
175905,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-175904-175905,175905,Phasianus colchicus
176136,202423-914154-914156-158852-331030-914179-914181-174371-175693-175861-176135-176136,176136,Meleagris gallopavo
175863,202423-914154-914156-158852-331030-914179-914181-174371-175693-553439-175862-175863,175863,Colinus virginianus
176207,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176206-176207,176207,Rallus elegans
176242,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176240-176242,176242,Porzana carolina
176284,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176283-176284,176284,Gallinula chloropus
176292,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176289-176292,176292,Fulica americana
707815,202423-914154-914156-158852-331030-914179-914181-174371-176147-176205-176388-707815,707815,Porphyrio martinica
176520,202423-914154-914156-158852-331030-914179-914181-174371-176445-176479-176503-176520,176520,Charadrius vociferus
176580,202423-914154-914156-158852-331030-914179-914181-174371-176445-176568-176577-176580,176580,Scolopax minor
176610,202423-914154-914156-158852-331030-914179-914181-174371-176445-176568-176608-176610,176610,Bartramia longicauda
726049,202423-914154-914156-158852-331030-914179-914181-174371-176445-176568-176611-726049,726049,Actitis macularius
176615,202423-914154-914156-158852-331030-914179-914181-174371-176445-176568-176614-176615,176615,Tringa solitaria
176667,202423-914154-914156-158852-331030-914179-914181-174371-176445-176568-176641-176667,176667,Calidris pusilla
176700,202423-914154-914156-158852-331030-914179-914181-174371-176445-176568-176698-176700,176700,Gallinago gallinago
176735,202423-914154-914156-158852-331030-914179-914181-174371-176445-176568-176733-176735,176735,Phalaropus lobatus
176830,202423-914154-914156-158852-331030-914179-914181-174371-176445-176802-176803-176830,176830,Larus delawarensis
178515,202423-914154-914156-158852-331030-914179-914181-174371-178265-178509-178510-178515,178515,Lanius ludovicianus
178532,202423-914154-914156-158852-331030-914179-914181-174371-178265-178527-178528-178532,178532,Bombycilla cedrorum
178539,202423-914154-914156-158852-331030-914179-914181-174371-178265-178539,178539,Unidentified wren
178541,202423-914154-914156-158852-331030-914179-914181-174371-178265-178539-178540-178541,178541,Troglodytes aedon
178562,202423-914154-914156-158852-331030-914179-914181-174371-178265-178539-178561-178562,178562,Thryomanes bewickii
178581,202423-914154-914156-158852-331030-914179-914181-174371-178265-178539-178580-178581,178581,Thryothorus ludovicianus
178605,202423-914154-914156-158852-331030-914179-914181-174371-178265-178539-178604-178605,178605,Cistothorus platensis
178608,202423-914154-914156-158852-331030-914179-914181-174371-178265-178539-178604-178608,178608,Cistothorus palustris
178614,202423-914154-914156-158852-331030-914179-914181-174371-178265-178539-178613-178614,178614,Salpinctes obsoletus
177831,202423-914154-914156-158852-331030-914179-914181-174371-177816-177820-705287-177827-177831,177831,Coccyzus americanus
177834,202423-914154-914156-158852-331030-914179-914181-174371-177816-177820-705287-177827-177834,177834,Coccyzus erythropthalmus
177884,202423-914154-914156-158852-331030-914179-914181-174371-177848-177854-686633-177883-177884,177884,Bubo virginianus
177921,202423-914154-914156-158852-331030-914179-914181-174371-177848-177854-686633-177920-177921,177921,Strix varia
177946,202423-914154-914156-158852-331030-914179-914181-174371-177848-177854-686634-177945-177946,177946,Athene cunicularia
1077350,202423-914154-914156-158852-331030-914179-914181-174371-177949-177958-1077328-1077350,1077350,Antrostomus carolinensis
1077358,202423-914154-914156-158852-331030-914179-914181-174371-177949-177958-1077328-1077358,1077358,Antrostomus vociferus
177979,202423-914154-914156-158852-331030-914179-914181-174371-177949-177958-177978-177979,177979,Chordeiles minor
178001,202423-914154-914156-158852-331030-914179-914181-174371-177993-177995-693119-178000-178001,178001,Chaetura pelagica
178032,202423-914154-914156-158852-331030-914179-914181-174371-177993-178028-693121-178031-178032,178032,Archilochus colubris
950052,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950052,950052,Setophaga discolor
950061,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950061,950061,Setophaga virens
950009,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-950005-950009,950009,Parkesia motacilla
950010,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-950005-950010,950010,Parkesia noveboracensis
950014,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-950007-950014,950014,Leiothlypis peregrina
950015,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-950007-950015,950015,Leiothlypis celata
950018,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-950007-950018,950018,Leiothlypis ruficapilla
178988,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988,178988,Unidentified vireo
178991,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988-178989-178991,178991,Vireo griseus
179003,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988-178989-179003,179003,Vireo bellii
179009,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988-178989-179009,179009,Vireo flavifrons
179010,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988-178989-179010,179010,Vireo solitarius
179021,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988-178989-179021,179021,Vireo olivaceus
179022,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988-178989-179022,179022,Vireo philadelphicus
179023,202423-914154-914156-158852-331030-914179-914181-174371-178265-178988-178989-179023,179023,Vireo gilvus
179030,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030,179030,Unidentified meadowlark
179032,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179031-179032,179032,Dolichonyx oryzivorus
179034,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179033-179034,179034,Sturnella magna
179039,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179033-179039,179039,Sturnella neglecta
179043,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179042-179043,179043,Xanthocephalus xanthocephalus
179045,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179044-179045,179045,Agelaius phoeniceus
179064,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179063-179064,179064,Icterus spurius
176959,202423-914154-914156-158852-331030-914179-914181-174371-176445-176802-176957-176959,176959,Chlidonias niger
824127,202423-914154-914156-158852-331030-914179-914181-174371-176445-176802-823995-824127,824127,Sternula antillarum
177071,202423-914154-914156-158852-331030-914179-914181-174371-177038-177061-676884-177062-177071,177071,Columba livia
177121,202423-914154-914156-158852-331030-914179-914181-174371-177038-177061-676884-177117-177121,177121,Zenaida asiatica
177125,202423-914154-914156-158852-331030-914179-914181-174371-177038-177061-676884-177117-177125,177125,Zenaida macroura
177139,202423-914154-914156-158852-331030-914179-914181-174371-177038-177061-676884-177133-177139,177139,Streptopelia decaocto
178697,202423-914154-914156-158852-331030-914179-914181-174371-178265-178697,178697,Unidentified chickadee
554138,202423-914154-914156-158852-331030-914179-914181-174371-178265-178697-553512-554138,554138,Baeolophus bicolor
554382,202423-914154-914156-158852-331030-914179-914181-174371-178265-178697-553526-554382,554382,Poecile atricapillus
554383,202423-914154-914156-158852-331030-914179-914181-174371-178265-178697-553526-554383,554383,Poecile carolinensis
178775,202423-914154-914156-158852-331030-914179-914181-174371-178265-178773-178774-178775,178775,Sitta carolinensis
178803,202423-914154-914156-158852-331030-914179-914181-174371-178265-178793-178794-178803,178803,Certhia americana
178838,202423-914154-914156-158852-331030-914179-914181-174371-178265-178838,178838,Unidentified sparrow
178842,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842,178842,Unidentified warbler
178844,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178843-178844,178844,Mniotilta varia
178846,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178845-178846,178846,Protonotaria citrea
726195,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178849-726195,726195,Helmitheros vermivorum
178852,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178851-178852,178852,Vermivora chrysoptera
950011,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178851-950011,950011,Vermivora cyanoptera
726205,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178926-726205,726205,Seiurus aurocapilla
178944,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178943-178944,178944,Geothlypis trichas
950025,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178943-950025,950025,Geothlypis formosa
178964,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178963-178964,178964,Icteria virens
950079,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178969-950079,950079,Cardellina canadensis
950080,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178969-950080,950080,Cardellina pusilla
178979,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-178979,178979,Setophaga ruticilla
950029,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950029,950029,Setophaga citrina
950032,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950032,950032,Setophaga cerulea
950033,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950033,950033,Setophaga americana
950035,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950035,950035,Setophaga magnolia
950036,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950036,950036,Setophaga castanea
950037,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950037,950037,Setophaga fusca
950039,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950039,950039,Setophaga petechia
179083,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179063-179083,179083,Icterus galbula
179091,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179090-179091,179091,Euphagus carolinus
179094,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179090-179094,179094,Euphagus cyanocephalus
179104,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179103-179104,179104,Quiscalus quiscula
179109,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179103-179109,179109,Quiscalus mexicanus
179112,202423-914154-914156-158852-331030-914179-914181-174371-178265-179030-179111-179112,179112,Molothrus ater
179249,202423-914154-914156-158852-331030-914179-914181-174371-178265-179122-179245-179249,179249,Spinus tristis
997803,202423-914154-914156-158852-331030-914179-914181-174371-178265-179122-997707-997803,997803,Haemorhous purpreus
997805,202423-914154-914156-158852-331030-914179-914181-174371-178265-179122-997707-997805,997805,Haemorhous mexicanus
179637,202423-914154-914156-158852-331030-914179-914181-174371-178265-179635-179636-179637,179637,Sturnus vulgaris
179865,202423-914154-914156-158852-331030-914179-914181-174371-178265-553448-179864-179865,179865,Regulus satrapa
179870,202423-914154-914156-158852-331030-914179-914181-174371-178265-553448-179864-179870,179870,Regulus calendula
178620,202423-914154-914156-158852-331030-914179-914181-174371-178265-178618-178619-178620,178620,Mimus polyglottos
178625,202423-914154-914156-158852-331030-914179-914181-174371-178265-178618-178624-178625,178625,Dumetella carolinensis
178627,202423-914154-914156-158852-331030-914179-914181-174371-178265-178618-178626-178627,178627,Toxostoma rufum
179853,202423-914154-914156-158852-331030-914179-914181-174371-178265-915676-179852-179853,179853,Polioptila caerulea
179526,202423-914154-914156-158852-331030-914179-914181-174371-178265-997693-179524-179526,179526,Calcarius lapponicus
174717,202423-914154-914156-158852-331030-914179-914181-174371-823960-174713-174714-174717,174717,Phalacrocorax auritus
174755,202423-914154-914156-158852-331030-914179-914181-174371-823960-174753-174754-174755,174755,Anhinga anhinga
175265,202423-914154-914156-158852-331030-914179-914181-174371-823961-175263-175264-175265,175265,Cathartes aura
175272,202423-914154-914156-158852-331030-914179-914181-174371-823961-175263-823979-175272,175272,Coragyps atratus
554268,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175291-554268,554268,Ictinia mississippiensis
175304,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175299-175304,175304,Accipiter striatus
175309,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175299-175309,175309,Accipiter cooperii
175350,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175349-175350,175350,Buteo jamaicensis
175359,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175349-175359,175359,Buteo lineatus
175365,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175349-175365,175365,Buteo platypterus
175367,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175349-175367,175367,Buteo swainsoni
175420,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175418-175420,175420,Haliaeetus leucocephalus
175430,202423-914154-914156-158852-331030-914179-914181-174371-823961-175280-175429-175430,175430,Circus cyaneus
178106,202423-914154-914156-158852-331030-914179-914181-174371-178102-178104-692682-178105-178106,178106,Megaceryle alcyon
178148,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148,178148,Unidentified woodpecker
1145276,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148-553479-1145208-1145276,1145276,Dryobates pubescens
1145285,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148-553479-1145209-1145285,1145285,Leuconotopicus villosus
178154,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148-553479-1145212-178154,178154,Colaptes auratus
178166,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148-553479-178165-178166,178166,Dryocopus pileatus
178186,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148-553479-178185-178186,178186,Melanerpes erythrocephalus
178195,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148-553479-178185-178195,178195,Melanerpes carolinus
178202,202423-914154-914156-158852-331030-914179-914181-174371-178140-178148-553479-178201-178202,178202,Sphyrapicus varius
