ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyCount
Arkansas Post,ARPO30,1,Jun  7 2007,Hardwood,11
Arkansas Post,ARPO30,1,Jun  7 2011,Hardwood,16
Arkansas Post,ARPO30,1,May 19 2015,Hardwood,10
Arkansas Post,ARPO30,1,May 20 2019,Hardwood,11
Arkansas Post,ARPO36,1,Jun  6 2007,Conifer,1
Arkansas Post,ARPO36,1,Jun  6 2007,Hardwood,16
Arkansas Post,ARPO36,1,May 19 2015,Hardwood,12
Arkansas Post,ARPO4,1,Jun  5 2007,Hardwood,2
Arkansas Post,ARPO4,1,Jun  8 2011,Hardwood,5
Arkansas Post,ARPO4,1,May 18 2015,Hardwood,5
Arkansas Post,ARPO4,1,May 21 2019,Hardwood,10
Arkansas Post,ARPO5,1,Jun  5 2007,Hardwood,8
Arkansas Post,ARPO5,1,Jun  7 2011,Hardwood,16
Arkansas Post,ARPO5,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO5,1,May 21 2019,Hardwood,13
Arkansas Post,ARPO7,1,Jun  7 2007,Hardwood,14
Arkansas Post,ARPO7,1,Jun  7 2011,Hardwood,16
Arkansas Post,ARPO7,1,May 19 2015,Hardwood,10
Arkansas Post,ARPO7,1,May 20 2019,Hardwood,13
Arkansas Post,ARPO9,1,Jun  7 2007,Hardwood,9
Arkansas Post,ARPO9,1,Jun  7 2011,Hardwood,11
Arkansas Post,ARPO9,1,May 19 2015,Hardwood,7
Arkansas Post,ARPO9,1,May 20 2019,Hardwood,13
Effigy Mounds,EFMO1,0,May 24 2017,Hardwood,7
Effigy Mounds,EFMO1,0,May 24 2017,Total,7
Effigy Mounds,EFMO1,1,May 25 2022,Hardwood,4
Effigy Mounds,EFMO1,1,May 29 2013,Hardwood,9
Effigy Mounds,EFMO12,0,May 25 2017,Hardwood,7
Effigy Mounds,EFMO12,0,May 25 2017,Total,7
Effigy Mounds,EFMO12,1,Jun  1 2009,Hardwood,7
Effigy Mounds,EFMO12,1,May 26 2022,Hardwood,13
Effigy Mounds,EFMO12,1,May 31 2013,Hardwood,3
Effigy Mounds,EFMO13,1,Jun  1 2009,Hardwood,8
Effigy Mounds,EFMO14,1,May 31 2009,Hardwood,9
Effigy Mounds,EFMO15,0,May 24 2017,Hardwood,5
Effigy Mounds,EFMO15,0,May 24 2017,Total,5
Effigy Mounds,EFMO15,1,May 24 2022,Hardwood,5
Effigy Mounds,EFMO15,1,May 29 2009,Hardwood,11
Effigy Mounds,EFMO16,0,May 24 2017,Hardwood,7
Effigy Mounds,EFMO16,0,May 24 2017,Total,7
Effigy Mounds,EFMO16,1,May 23 2022,Hardwood,7
Effigy Mounds,EFMO16,1,May 29 2009,Hardwood,9
Effigy Mounds,EFMO16,1,May 30 2013,Hardwood,5
Effigy Mounds,EFMO17,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO17,0,May 24 2017,Total,8
Effigy Mounds,EFMO17,1,May 25 2022,Hardwood,9
Effigy Mounds,EFMO17,1,May 29 2009,Hardwood,19
Effigy Mounds,EFMO17,1,May 30 2013,Hardwood,5
Effigy Mounds,EFMO18,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO18,0,May 24 2017,Total,8
Effigy Mounds,EFMO18,1,May 26 2022,Hardwood,8
Effigy Mounds,EFMO18,1,May 31 2009,Hardwood,6
Effigy Mounds,EFMO18,1,May 31 2013,Hardwood,2
Effigy Mounds,EFMO19,1,May 26 2022,Hardwood,5
Effigy Mounds,EFMO19,1,May 31 2009,Hardwood,4
Effigy Mounds,EFMO2,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO2,0,May 24 2017,Total,8
Effigy Mounds,EFMO2,1,May 25 2022,Hardwood,6
Effigy Mounds,EFMO2,1,May 29 2009,Hardwood,13
Effigy Mounds,EFMO2,1,May 29 2013,Hardwood,6
Effigy Mounds,EFMO22,0,May 24 2017,Hardwood,6
Effigy Mounds,EFMO22,0,May 24 2017,Total,6
Effigy Mounds,EFMO22,1,May 31 2009,Hardwood,8
Effigy Mounds,EFMO24,0,May 24 2017,Hardwood,8
