attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ParkUnit		categorical				
Plot		character				
SubPlot		numeric	!Add units here!			
EventDate		Date		!Add datetime specifier here!		
GroundCover		categorical				
CoverClassCode		numeric	!Add units here!			
CoverClassMidPoint		numeric	!Add units here!			
CoverClassRange		categorical				
