ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
Arkansas Post,ARPO30,1,May 19 2015,Hardwood,32.5
Arkansas Post,ARPO30,1,May 20 2019,Hardwood,31
Arkansas Post,ARPO31,1,May 19 2015,Hardwood,3.75
Arkansas Post,ARPO32,1,Jun  7 2011,Hardwood,22.9
Arkansas Post,ARPO32,1,May 19 2015,Hardwood,35
Arkansas Post,ARPO33,1,May 19 2015,Hardwood,4.75
Arkansas Post,ARPO34,1,May 19 2015,Hardwood,8
Arkansas Post,ARPO35,1,May 20 2019,Hardwood,2.5
Arkansas Post,ARPO36,1,Jun  6 2007,Conifer,20
Arkansas Post,ARPO36,1,Jun  6 2007,Hardwood,18
Arkansas Post,ARPO36,1,May 19 2015,Hardwood,46
Arkansas Post,ARPO4,1,Jun  5 2007,Hardwood,4
Arkansas Post,ARPO4,1,Jun  8 2011,Hardwood,21.7
Arkansas Post,ARPO4,1,May 18 2015,Hardwood,34
Arkansas Post,ARPO4,1,May 21 2019,Hardwood,12
Arkansas Post,ARPO5,1,Jun  5 2007,Hardwood,14.5
Arkansas Post,ARPO5,1,Jun  7 2011,Hardwood,11.7
Arkansas Post,ARPO5,1,May 18 2015,Hardwood,27
Arkansas Post,ARPO5,1,May 21 2019,Hardwood,21.5
Arkansas Post,ARPO6,1,Jun  7 2007,Hardwood,4
Arkansas Post,ARPO6,1,May 19 2015,Hardwood,8
Arkansas Post,ARPO7,1,Jun  7 2007,Hardwood,18
Arkansas Post,ARPO7,1,Jun  7 2011,Hardwood,24.8
Arkansas Post,ARPO7,1,May 19 2015,Hardwood,35
Arkansas Post,ARPO7,1,May 20 2019,Hardwood,31
Arkansas Post,ARPO8,1,May 19 2015,Hardwood,6
Arkansas Post,ARPO9,1,Jun  7 2007,Hardwood,13
Arkansas Post,ARPO9,1,Jun  7 2011,Hardwood,11.5
Arkansas Post,ARPO9,1,May 19 2015,Hardwood,32
Arkansas Post,ARPO9,1,May 20 2019,Hardwood,25.5
Effigy Mounds,EFMO1,0,May 24 2017,Hardwood,32
Effigy Mounds,EFMO1,0,May 24 2017,Total,32
Effigy Mounds,EFMO1,1,May 25 2022,Hardwood,28.5
Effigy Mounds,EFMO1,1,May 29 2013,Hardwood,31.5
Effigy Mounds,EFMO12,0,May 25 2017,Hardwood,31
