attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
ParkUnit	park name	categorical				
Plot	plot id	character				
SubPlot	subplot number	numeric	!Add units here!			
EventDate	event date	Date		yyyy-mm-dd		
FoliarCover	foliar cover type	categorical				
CoverClassCode	code code	numeric				
CoverClassMidPoint	percent	numeric				
CoverClassRange	description	categorical				
