ID,TaxonCode,TSN,ScientificName,Family,CommonName,IsProvisional,IsValid,ValidTaxon,DateCreated,AOUCode
51,BWTE,175086,Anas discors,Anatidae,blue-winged teal,0,1,NULL,2015-06-08 16:33:00.1900000,NULL
52,BWWA,950011,Vermivora cyanoptera,Parulidae,blue-winged warbler,0,1,NULL,2015-06-08 16:33:00.2100000,NULL
53,CACH,554383,Poecile carolinensis,Paridae,carolina chickadee,0,1,NULL,2015-06-08 16:33:00.2300000,NULL
54,CAEG,174803,Bubulcus ibis,Ardeidae,cattle egret,0,1,NULL,2015-06-08 16:33:00.2600000,NULL
55,CANG,174999,Branta canadensis,Anatidae,canada goose,0,1,NULL,2015-06-08 16:33:00.2800000,NULL
56,CAKI,178288,Tyrannus vociferans,Tyrannidae,cassin's kingbird,0,1,NULL,2015-06-08 16:33:00.3070000,NULL
57,CARW,178581,Thryothorus ludovicianus,Troglodytidae,carolina wren,0,1,NULL,2015-06-08 16:33:00.3300000,NULL
58,CATE,176935,Hydroprogne caspia,Laridae,caspian tern,0,0,NULL,2015-06-08 16:33:00.3500000,NULL
59,CAWA,950079,Cardellina canadensis,Parulidae,canada warbler,0,0,NULL,2015-06-08 16:33:00.3700000,NULL
60,CCLO,179530,Calcarius ornatus,Calcariidae,chestnut-collared longspur,0,1,NULL,2015-06-08 16:33:00.3900000,NULL
61,CCSP,179439,Spizella pallida,Emberizidae,clay-colored sparrow,0,1,NULL,2015-06-08 16:33:00.4170000,NULL
62,CEDW,178532,Bombycilla cedrorum,Bombycillidae,cedar waxwing,0,1,NULL,2015-06-08 16:33:00.4430000,NULL
63,CERW,950032,Setophaga cerulea,Parulidae,cerulean warbler,0,0,NULL,2015-06-08 16:33:00.4630000,NULL
64,CHSP,179435,Spizella passerina,Emberizidae,chipping sparrow,0,1,NULL,2015-06-08 16:33:00.4830000,NULL
65,CHSW,178001,Chaetura pelagica,Apodidae,chimney swift,0,1,NULL,2015-06-08 16:33:00.5000000,NULL
66,CITE,175089,Anas cyanoptera,Anatidae,cinnamon teal,0,1,NULL,2015-06-08 16:33:00.5200000,NULL
67,CLGR,554027,Aechmophorus clarkii,Podicipedidae,clark's grebe,0,0,NULL,2015-06-08 16:33:00.5430000,NULL
68,CLSW,178455,Petrochelidon pyrrhonota,Hirundinidae,cliff swallow,0,1,NULL,2015-06-08 16:33:00.5700000,NULL
69,CMWA,950031,Setophaga tigrina,Parulidae,cape may warbler,0,0,NULL,2015-06-08 16:33:00.5930000,NULL
70,COGO,175141,Bucephala clangula,Anatidae,common goldeneye,0,0,NULL,2015-06-08 16:33:00.6170000,NULL
71,COGR,179104,Quiscalus quiscula,Icteridae,common grackle,0,1,NULL,2015-06-08 16:33:00.6370000,NULL
72,COHA,175309,Accipiter cooperii,Accipitridae,cooper's hawk,0,0,NULL,2015-06-08 16:33:00.6670000,NULL
