ID,TaxonCode,TSN,ScientificName,Family,CommonName,IsProvisional,IsValid,ValidTaxon,DateCreated,AOUCode
221,TRES,178431,Tachycineta bicolor,Hirundinidae,tree swallow,0,1,NULL,2015-06-08 16:33:04.8770000,NULL
222,ATTW,685725,Picoides dorsalis,Picidae,Amereican three-toed woodpecker,0,1,NULL,2015-06-08 16:33:04.9000000,NULL
223,TUTI,554138,Baeolophus bicolor,Paridae,tufted titmouse,0,1,NULL,2015-06-08 16:33:05.2000000,NULL
224,TUVU,175265,Cathartes aura,Cathartidae,turkey vulture,0,1,NULL,2015-06-08 16:33:05.2200000,NULL
225,UNBI,NULL,Unidentified bird,NULL,Unidentified bird,0,0,NULL,2015-06-08 16:33:05.2570000,NULL
226,UNFL,178277,Unidentified flycatcher,Tyrannidae,Unidentified flycatcher,0,0,NULL,2015-06-08 16:33:05.2870000,NULL
227,UNME,179030,Unidentified meadowlark,Icteridae,Unidentified meadowlark,0,0,NULL,2015-06-08 16:33:05.3200000,NULL
228,UNSP,178838,Unidentified sparrow,Emberizidae,Unidentified sparrow,0,0,NULL,2015-06-08 16:33:05.3470000,NULL
229,UNSW,178423,Unidentified swallow,Hirundinidae,Unidentified swallow,0,0,NULL,2015-06-08 16:33:05.3630000,NULL
230,UNVI,178988,Unidentified vireo,Vireonidae,Unidentified vireo,0,0,NULL,2015-06-08 16:33:05.3830000,NULL
231,UNWA,178842,Unidentified warbler,Parulidae,Unidentified warbler,0,0,NULL,2015-06-08 16:33:05.4030000,NULL
232,UNWO,178148,Unidentified woodpecker,Picidae,Unidentified woodpecker,0,0,NULL,2015-06-08 16:33:05.4230000,NULL
233,UNWR,178539,Unidentified wren,Troglodytidae,Unidentified wren,0,0,NULL,2015-06-08 16:33:05.4470000,NULL
234,UPSA,176610,Bartramia longicauda,Scolopacidae,upland sandpiper,0,1,NULL,2015-06-08 16:33:05.4730000,NULL
235,VEER,179796,Catharus fuscescens,Turdidae,veery,0,0,NULL,2015-06-08 16:33:05.4930000,NULL
236,VESP,179366,Pooecetes gramineus,Emberizidae,vesper sparrow,0,1,NULL,2015-06-08 16:33:05.5200000,NULL
237,VGSW,178427,Tachycineta thalassina,Hirundinidae,violet-green swallow,0,1,NULL,2015-06-08 16:33:05.5400000,NULL
238,VIRA,176221,Rallus limicola,Rallidae,virginia rail,0,1,NULL,2015-06-08 16:33:05.5600000,NULL
239,WAVI,179023,Vireo gilvus,Vireonidae,warbling vireo,0,1,NULL,2015-06-08 16:33:05.6000000,NULL
240,WBNU,178775,Sitta carolinensis,Sittidae,white-breasted nuthatch,0,1,NULL,2015-06-08 16:33:05.6230000,NULL
241,WCSP,179455,Zonotrichia leucophrys,Emberizidae,white-crowned sparrow,0,0,NULL,2015-06-08 16:33:05.6470000,NULL
242,WEBL,179806,Sialia mexicana,Turdidae,western bluebird,0,1,NULL,2015-06-08 16:33:05.6800000,NULL
243,WEGR,174503,Aechmophorus occidentalis,Podicipedidae,western grebe,0,0,NULL,2015-06-08 16:33:05.7070000,NULL
244,WEKI,178287,Tyrannus verticalis,Tyrannidae,western kingbird,0,1,NULL,2015-06-08 16:33:05.7330000,NULL
245,WEME,179039,Sturnella neglecta,Icteridae,western meadowlark,0,1,NULL,2015-06-08 16:33:05.7730000,NULL
246,WEVI,178991,Vireo griseus,Vireonidae,white-eyed vireo,0,1,NULL,2015-06-08 16:33:05.7930000,NULL
247,WEWA,726195,Helmitheros vermivorum,Parulidae,worm-eating warbler,0,0,NULL,2015-06-08 16:33:05.8330000,NULL
248,WEWP,178360,Contopus sordidulus,Tyrannidae,western wood-pewee,0,1,NULL,2015-06-08 16:33:05.8530000,NULL
249,WFIB,174926,Plegadis chihi,Threskiornithidae,white-faced ibis,0,0,NULL,2015-06-08 16:33:05.8730000,NULL
250,WHIB,174930,Eudocimus albus,Threskiornithidae,white ibis,0,0,NULL,2015-06-08 16:33:05.8970000,NULL
251,WIFL,178341,Empidonax traillii,Tyrannidae,willow flycatcher,0,0,NULL,2015-06-08 16:33:05.9170000,NULL
252,WIPH,176736,Phalaropus tricolor,Scolopacidae,wilson's phalarope,0,1,NULL,2015-06-08 16:33:05.9400000,NULL
253,WITU,176136,Meleagris gallopavo,Phasianidae,wild turkey,0,1,NULL,2015-06-08 16:33:05.9700000,NULL
254,WIWA,950080,Cardellina pusilla,Parulidae,wilson's warbler,0,0,NULL,2015-06-08 16:33:06.0030000,NULL
255,WIWR,178547,Troglodytes troglodytes,Troglodytidae,winter wren,0,0,NULL,2015-06-08 16:33:06.0200000,NULL
256,WODU,175122,Aix sponsa,Anatidae,wood duck,0,1,NULL,2015-06-08 16:33:06.0500000,NULL
257,WOST,174897,Mycteria americana,Ciconiidae,wood stork,0,0,NULL,2015-06-08 16:33:06.0800000,NULL
258,WOTH,179777,Hylocichla mustelina,Turdidae,wood thrush,0,1,NULL,2015-06-08 16:33:06.1300000,NULL
259,EWPW,1077358,Antrostomus vociferus,Caprimulgidae,Eastern whip-poor-will,0,0,NULL,2015-06-08 16:33:06.1470000,NULL
260,WTSP,179462,Zonotrichia albicollis,Emberizidae,white-throated sparrow,0,0,NULL,2015-06-08 16:33:06.1730000,NULL
261,WTSW,178014,Aeronautes saxatalis,Apodidae,white-throated swift,0,1,NULL,2015-06-08 16:33:06.2000000,NULL
262,WWDO,177121,Zenaida asiatica,Columbidae,white-winged dove,0,1,NULL,2015-06-08 16:33:06.2130000,NULL
263,YBCH,178964,Icteria virens,Parulidae,yellow-breasted chat,0,1,NULL,2015-06-08 16:33:06.2400000,NULL
264,YBCU,177831,Coccyzus americanus,Cuculidae,yellow-billed cuckoo,0,1,NULL,2015-06-08 16:33:06.2670000,NULL
265,YBFL,178338,Empidonax flaviventris,Tyrannidae,yellow-bellied flycatcher,0,1,NULL,2015-06-08 16:33:06.2930000,NULL
266,YBSA,178202,Sphyrapicus varius,Picidae,yellow-bellied sapsucker,0,0,NULL,2015-06-08 16:33:06.3230000,NULL
267,YCNH,174838,Nyctanassa violacea,Ardeidae,yellow-crowned night-heron,0,0,NULL,2015-06-08 16:33:06.3500000,NULL
268,YERA,176259,Coturnicops noveboracensis,Rallidae,yellow rail,0,0,NULL,2015-06-08 16:33:06.3770000,NULL
269,YEWA,950039,Setophaga petechia,Parulidae,yellow warbler,0,1,NULL,2015-06-08 16:33:06.4070000,NULL
270,YHBL,179043,Xanthocephalus xanthocephalus,Icteridae,yellow-headed blackbird,0,1,NULL,2015-06-08 16:33:06.4370000,NULL
271,YRWA,950046,Setophaga coronata,Parulidae,yellow-rumped warbler,0,1,NULL,2015-06-08 16:33:06.4700000,NULL
272,NOFL,178154,Colaptes auratus,Picidae,northern flicker,0,1,NULL,2015-06-08 16:33:06.5000000,NULL
273,YTVI,179009,Vireo flavifrons,Vireonidae,yellow-throated vireo,0,1,NULL,2015-06-08 16:33:06.5300000,NULL
274,YTWA,950049,Setophaga dominica,Parulidae,yellow-throated warbler,0,0,NULL,2015-06-08 16:33:06.5600000,NULL
276,ALFL,178340,Empidonax alnorum,Tyrannidae,Alder Flycatchetr,NULL,1,NULL,2017-06-20 10:18:03.0000000,ALFL
277,DEJU,179410,Junco hyemalis,Emberizidae,Darl-eyed Junco,NULL,1,NULL,2017-06-21 08:49:47.0000000,DEJU
278,BHVI,179010,Vireo solitarius,Vireonidae,Blue-headed Vireo,NULL,1,NULL,2017-06-21 08:57:32.0000000,BHVI
279,UPCH,178697,Unidentified chickadee,Paridae,Unidentified poecile chickadee,NULL,NULL,NULL,2017-06-28 06:51:33.0000000,UPCH
280,HERG,176824,Larus argentatus,Laridae,Herring Gull,NULL,1,NULL,2017-10-13 10:55:55.0000000,HERG
281,OCWA,950015,Leiothlypis celata,Parulidae,Orange-crowned Warbler,0,1,NULL,2021-07-22 14:38:49.0000000,OCWA
282,RUBL,179091,Euphagus carolinus,Icteridae,rusty blackbird,NULL,1,NULL,2021-07-30 09:45:32.0000000,NULL
283,UNOW,NULL,Unidentified owl,Strigidae/tytonidae,unidentified owl,NULL,NULL,NULL,2021-08-04 08:05:13.0000000,NULL
284,WEFL,178348,Empidonax difficilis,Tyrannidae,Western Flycatcher,NULL,1,NULL,2021-08-04 10:10:47.0000000,WEFL
285,MERL,175613,Falco columbarius,Falconidae,Merlin,0,1,NULL,0001-01-01 00:00:00.0000000,MERL
