AOUCode,TSN,CommonName,ScientificName,Family
KILL,176520,killdeer,Charadrius vociferus,Charadriidae
KIRA,176207,king rail,Rallus elegans,Rallidae
LALO,179526,lapland Longspur,Calcarius lapponicus,Calcariidae
LARB,179312,lark bunting,Calamospiza melanocorys,Emberizidae
LASP,179371,lark sparrow,Chondestes grammacus,Emberizidae
LBHE,174827,little blue heron,Egretta caerulea,Ardeidae
LEBI,174846,least bittern,Ixobrychus exilis,Ardeidae
LEFL,178344,least flycatcher,Empidonax minimus,Tyrannidae
LETE,824127,least tern,Sternula antillarum,Laridae
LISP,179484,lincoln's sparrow,Melospiza lincolnii,Emberizidae
LOSH,178515,loggerhead shrike,Lanius ludovicianus,Laniidae
LOWA,950009,louisiana waterthrush,Parkesia motacilla,Parulidae
MALL,175063,mallard,Anas platyrhynchos,Anatidae
MAWA,950035,magnolia warbler,Setophaga magnolia,Parulidae
MAWR,178608,marsh wren,Cistothorus palustris,Troglodytidae
MIKI,554268,mississippi kite,Ictinia mississippiensis,Accipitridae
MODO,177125,mourning dove,Zenaida macroura,Columbidae
NAWA,950018,nashville warbler,Leiothlypis ruficapilla,Parulidae
NOBO,175863,northern bobwhite,Colinus virginianus,Odontophoridae
NOCA,179124,northern cardinal,Cardinalis cardinalis,Cardinalidae
NOHA,175430,northern harrier,Circus cyaneus,Accipitridae
NOMO,178620,northern mockingbird,Mimus polyglottos,Mimidae
NOPA,950033,northern parula,Setophaga americana,Parulidae
NOWA,950010,northern waterthrush,Parkesia noveboracensis,Parulidae
NRWS,178443,northern rough-winged swallow,Stelgidopteryx serripennis,Hirundinidae
NSHO,175096,northern shoveler,Anas clypeata,Anatidae
OROR,179064,orchard oriole,Icterus spurius,Icteridae
OSFL,554221,olive-sided flycatcher,Contopus cooperi,Tyrannidae
OVEN,726205,ovenbird,Seiurus aurocapilla,Parulidae
PABU,179156,painted bunting,Passerina ciris,Cardinalidae
PAWA,950043,palm warbler,Setophaga palmarum,Parulidae
PBGR,174505,pied-billed grebe,Podilymbus podiceps,Podicipedidae
PEFA,175604,peregrine falcon,Falco peregrinus,Falconidae
PHVI,179022,philadelphia vireo,Vireo philadelphicus,Vireonidae
PIWA,950045,pine warbler,Setophaga pinus,Parulidae
PIWO,178166,pileated woodpecker,Dryocopus pileatus,Picidae
PRAW,950052,prairie warbler,Setophaga discolor,Parulidae
PROW,178846,prothonotary warbler,Protonotaria citrea,Parulidae
PUFI,997803,purple finch,Haemorhous purpreus,Fringillidae
PUGA,707815,purple gallinule,Porphyrio martinica,Rallidae
PUMA,178464,purple martin,Progne subis,Hirundinidae
RBGR,179139,rose-breasted grosbeak,Pheucticus ludovicianus,Cardinalidae
RBGU,176830,ring-billed gull,Larus delawarensis,Laridae
RBWO,178195,red-bellied woodpecker,Melanerpes carolinus,Picidae
RCKI,179870,ruby-crowned kinglet,Regulus calendula,Regulidae
REDH,175125,redhead,Aythya americana,Anatidae
REVI,179021,red-eyed vireo,Vireo olivaceus,Vieonidae
RHWO,178186,red-headed woodpecker,Melanerpes erythrocephalus,Picidae
RNPH,176735,red-necked phalarope,Phalaropus lobatus,Scolopacidae
ROPI,177071,rock pigeon,Columba livia,Columbidae
ROWR,178614,rock wren,Salpinctes obsoletus,Troglodytidae
RNEP,175905,ring-necked pheasant,Phasianus colchicus,Phasianidae
RSHA,175359,red-shouldered hawk,Buteo lineatus,Accipitridae
RTHA,175350,red-tailed hawk,Buteo jamaicensis,Accipitridae
RTHU,178032,ruby-throated hummingbird,Archilochus colubris,Trochillidae
